station_name,demand_count,supply_count,net_demand,supply_demand_ratio,gap_type
E 93 St & 2 Ave,4448,2568,1880,1.73,严重缺口
W 89 St & Columbus Ave,8831,6968,1863,1.27,严重缺口
Hicks St & Montague St,4409,2550,1859,1.73,严重缺口
Classon Ave & St Marks Ave,3436,1580,1856,2.17,严重缺口
Stanton St & Norfolk St,4957,3104,1853,1.6,严重缺口
Monroe St & Tompkins Ave,3399,1557,1842,2.18,严重缺口
S 3 St & Bedford Ave,5194,3355,1839,1.55,严重缺口
Putnam Ave & Throop Ave,3450,1618,1832,2.13,严重缺口
Bank St & Hudson St,4040,2210,1830,1.83,严重缺口
8 Ave & W 31 St,16166,14344,1822,1.13,严重缺口
Pulaski St & Marcus Garvey Blvd,2378,559,1819,4.25,严重缺口
E 78 St & 2 Ave,3920,2119,1801,1.85,严重缺口
E 17 St & 2 Ave,7690,5890,1800,1.31,严重缺口
W 78 St & Broadway,3276,1481,1795,2.21,严重缺口
W 67 St & Broadway,7674,5879,1795,1.31,严重缺口
1 Pl & Clinton St,3573,1780,1793,2.01,严重缺口
W 92 St & Broadway,4525,2746,1779,1.65,严重缺口
Newtown Ave & 23 St,2858,1091,1767,2.62,严重缺口
West End Ave & W 107 St,3301,1544,1757,2.14,严重缺口
Nassau Ave & Newell St,3225,1476,1749,2.18,严重缺口
6 Ave & 21 St,2941,1194,1747,2.46,严重缺口
Barrow St & Hudson St,8366,6633,1733,1.26,严重缺口
E 22 St & 2 Ave,7591,5863,1728,1.29,严重缺口
E 19 St & 3 Ave,5448,3722,1726,1.46,严重缺口
W 37 St & 10 Ave,8957,7235,1722,1.24,严重缺口
McGuinness Blvd & Eagle St,3209,1492,1717,2.15,严重缺口
St Johns Pl & Washington Ave,3157,1446,1711,2.18,严重缺口
Washington Park,3302,1593,1709,2.07,严重缺口
Henry St & Degraw St,3200,1499,1701,2.13,严重缺口
South St & Pike St,3112,1412,1700,2.2,严重缺口
E 75 St & 3 Ave,4660,2960,1700,1.57,严重缺口
E 54 St & 1 Ave,6212,4514,1698,1.38,严重缺口
Frederick Douglass Blvd & W 117 St,4551,2877,1674,1.58,严重缺口
1 Ave & E 110 St,3520,1848,1672,1.9,严重缺口
E 26 St & 3 Ave,4943,3297,1646,1.5,严重缺口
5 Ave & 3 St,4137,2494,1643,1.66,严重缺口
E 31 St & 3 Ave,4360,2735,1625,1.59,严重缺口
Canal St & Rutgers St,7914,6292,1622,1.26,严重缺口
E 11 St & 3 Ave,5352,3739,1613,1.43,严重缺口
Richardson St & N Henry St,2466,860,1606,2.87,严重缺口
Huron St & Franklin St,4690,3085,1605,1.52,严重缺口
W 15 St & 7 Ave,6616,5011,1605,1.32,严重缺口
W 13 St & 7 Ave,9299,7696,1603,1.21,严重缺口
Lewis Ave & Kosciuszko St,2244,670,1574,3.35,严重缺口
E 4 St & 2 Ave,4864,3293,1571,1.48,严重缺口
New York Ave & St Marks Ave,2118,554,1564,3.82,严重缺口
E 6 St & 2 Ave,4464,2905,1559,1.54,严重缺口
Prospect Pl & Underhill Ave,2953,1403,1550,2.1,严重缺口
S 4 St & Rodney St,3570,2020,1550,1.77,严重缺口
Lexington Ave & Classon Ave,2922,1387,1535,2.11,严重缺口
1 Ave & E 94 St,4038,2515,1523,1.61,严重缺口
W 95 St & Broadway,4940,3421,1519,1.44,严重缺口
Engert Ave & McGuinness Blvd,2213,707,1506,3.13,严重缺口
E 9 St & 5 Ave,6888,5394,1494,1.28,严重缺口
W 4 St & 7 Ave S,5568,4079,1489,1.37,严重缺口
Willoughby Ave & Tompkins Ave,2751,1271,1480,2.16,严重缺口
W 74 St & Columbus Ave,2965,1510,1455,1.96,严重缺口
East End Ave & E 86 St,2907,1453,1454,2.0,严重缺口
Fulton St & Clermont Ave,3167,1716,1451,1.85,严重缺口
W 15 St & 6 Ave,11031,9581,1450,1.15,严重缺口
E 84 St & Park Ave,4861,3413,1448,1.42,严重缺口
Eagle St & Manhattan Ave,2928,1483,1445,1.97,严重缺口
28 Ave & 44 St,1908,463,1445,4.12,严重缺口
Underhill Ave & Pacific St,2711,1277,1434,2.12,严重缺口
Garfield Pl & 8 Ave,3538,2105,1433,1.68,严重缺口
S 4 St & Roebling St,3392,1959,1433,1.73,严重缺口
9 Ave & W 39 St,6481,5061,1420,1.28,严重缺口
Bedford Ave & S 9 St,2149,737,1412,2.92,严重缺口
Congress St & Clinton St,4183,2773,1410,1.51,严重缺口
Central Park West & W 68 St,7738,6333,1405,1.22,严重缺口
18 St & 27 Ave,1988,584,1404,3.4,严重缺口
6 Ave & W 33 St,14052,12652,1400,1.11,严重缺口
E 102 St & 1 Ave,4123,2725,1398,1.51,严重缺口
Emerson Pl & Myrtle Ave,4714,3329,1385,1.42,严重缺口
E 6 St & Ave B,2078,704,1374,2.95,严重缺口
W 84 St & Amsterdam Ave,2425,1054,1371,2.3,严重缺口
E 11 St & Ave B,2126,757,1369,2.81,严重缺口
9 Ave & W 45 St,6296,4927,1369,1.28,严重缺口
Prospect Pl & Nostrand Ave,1919,556,1363,3.45,严重缺口
E 13 St & Avenue A,3379,2017,1362,1.68,严重缺口
1 Ave & E 78 St,2951,1600,1351,1.84,严重缺口
W 90 St & Amsterdam Ave,3245,1910,1335,1.7,严重缺口
Central Park West & W 76 St,4089,2754,1335,1.48,严重缺口
31 Ave & 34 St,2165,833,1332,2.6,严重缺口
Monroe St & Classon Ave,2119,790,1329,2.68,严重缺口
E 118 St & Madison Ave,2729,1413,1316,1.93,严重缺口
E 51 St & 1 Ave,4471,3166,1305,1.41,严重缺口
21 Ave & Crescent St,1852,560,1292,3.31,严重缺口
Putnam Ave & Nostrand Ave,1954,667,1287,2.93,严重缺口
W 84 St & Broadway,2452,1168,1284,2.1,严重缺口
11 Ave & Prospect Ave,2096,814,1282,2.57,严重缺口
W 11 St & 6 Ave,6064,4787,1277,1.27,严重缺口
President St & Henry St,3176,1905,1271,1.67,严重缺口
Monroe St & Bedford Ave,3779,2510,1269,1.51,严重缺口
Lewis Ave & Greene Ave,1905,636,1269,3.0,严重缺口
Bedford Ave & Bergen St,2163,895,1268,2.42,严重缺口
E 5 St & Ave C,1775,517,1258,3.43,严重缺口
Broadway & W 61 St,8167,6918,1249,1.18,严重缺口
Astoria Park S & Shore Blvd,1981,733,1248,2.7,严重缺口
E 25 St & 2 Ave,8438,7202,1236,1.17,严重缺口
Lexington Ave & E 29 St,6581,5354,1227,1.23,严重缺口
Dean St & Franklin Ave,3633,2409,1224,1.51,严重缺口
Carroll St & 6 Ave,3691,2484,1207,1.49,严重缺口
1 St & 6 Ave,3008,1807,1201,1.66,严重缺口
43 Ave & 42 St,1760,566,1194,3.11,严重缺口
E 81 St & Park Ave,3829,2636,1193,1.45,严重缺口
Avenue D & E 12 St,1524,342,1182,4.46,严重缺口
E 58 St & 1 Ave (NW Corner),4182,3004,1178,1.39,严重缺口
Cambridge Pl & Gates Ave,2803,1632,1171,1.72,严重缺口
Sterling Pl & Bedford Ave,2399,1234,1165,1.94,严重缺口
W 46 St & 11 Ave,6887,5728,1159,1.2,严重缺口
50 St & Barnett Ave,1487,341,1146,4.36,严重缺口
2 Ave & E 104 St,3394,2251,1143,1.51,严重缺口
W 50 St & 9 Ave,3430,2290,1140,1.5,严重缺口
Motorgate,2217,1078,1139,2.06,严重缺口
31 Ave & Crescent St,2264,1127,1137,2.01,严重缺口
Halsey St & Tompkins Ave,2637,1500,1137,1.76,严重缺口
Washington St & Barrow St,3430,2294,1136,1.5,严重缺口
Monroe St & Marcus Garvey Blvd,1604,472,1132,3.4,严重缺口
W 26 St & 8 Ave,2849,1723,1126,1.65,严重缺口
21 Ave & Shore Blvd,1252,126,1126,9.94,严重缺口
W 25 St & 8 Ave,3384,2259,1125,1.5,严重缺口
Pike St & E Broadway,3956,2833,1123,1.4,严重缺口
McKibbin St & Manhattan Ave,2262,1140,1122,1.98,严重缺口
Monitor St & Meeker Ave,1601,486,1115,3.29,严重缺口
Fulton St & Irving Pl,2813,1701,1112,1.65,严重缺口
S 4 St & Wythe Ave,6637,5528,1109,1.2,严重缺口
7 Ave & 41 St,1803,695,1108,2.59,严重缺口
E 14 St & Ave B,1846,741,1105,2.49,严重缺口
30 Ave & 41 St,1968,868,1100,2.27,严重缺口
Steinway St & 28 Ave,2316,1219,1097,1.9,严重缺口
Wilson Ave & Troutman St,1753,658,1095,2.66,严重缺口
Carroll St & Bond St,2600,1506,1094,1.73,严重缺口
Rutgers St & Henry St,3936,2851,1085,1.38,严重缺口
Carmine St & 6 Ave,6513,5432,1081,1.2,严重缺口
Sterling Pl & New York Ave,1606,532,1074,3.02,严重缺口
5 Ave & W 131 St,2048,987,1061,2.07,严重缺口
Scholes St & Lorimer St,1701,645,1056,2.64,严重缺口
Marcus Garvey Blvd & Macon St,1661,607,1054,2.74,严重缺口
E 7 St & Ave A,2091,1039,1052,2.01,严重缺口
Madison St & Evergreen Ave,1362,313,1049,4.35,严重缺口
Mt Morris Park W & W 120 St,2647,1598,1049,1.66,严重缺口
W 20 St & 10 Ave,12331,11287,1044,1.09,严重缺口
W 45 St & 8 Ave,5373,4333,1040,1.24,严重缺口
8 Ave & W 27 St,6130,5093,1037,1.2,严重缺口
Stockholm St & Wilson Ave,1848,812,1036,2.28,严重缺口
Leonard St & Maujer St,2513,1478,1035,1.7,严重缺口
E 9 St & Ave C,1735,705,1030,2.46,严重缺口
Driggs Ave & S 2 St,2295,1268,1027,1.81,严重缺口
Central Park North & Adam Clayton Powell Blvd,4995,3973,1022,1.26,严重缺口
DeKalb Ave & Franklin Ave,2748,1727,1021,1.59,严重缺口
DeKalb Ave & Vanderbilt Ave,3203,2186,1017,1.47,严重缺口
25 Ave & 41 St,1660,649,1011,2.56,严重缺口
30 Ave & 47 St,1328,319,1009,4.16,严重缺口
Lenox Ave & W 130 St,2011,1003,1008,2.0,严重缺口
Jefferson Ave & Evergreen Ave,1274,273,1001,4.67,严重缺口
St James Pl & Oliver St,4143,3149,994,1.32,严重缺口
Center Blvd & 48 Ave,1564,572,992,2.73,严重缺口
Bushwick Ave & Forrest St,1834,843,991,2.18,严重缺口
West End Ave & W 78 St,1715,726,989,2.36,严重缺口
44 St & 48 Ave,1326,340,986,3.9,严重缺口
7 Ave & 20 St,1571,587,984,2.68,严重缺口
E 132 St & Madison Ave,2037,1055,982,1.93,严重缺口
28 Ave & 35 St,1561,580,981,2.69,严重缺口
Henry St & Atlantic Ave,3635,2657,978,1.37,严重缺口
6 Ave & 12 St,2434,1468,966,1.66,严重缺口
24 Ave & 26 St,1668,702,966,2.38,严重缺口
E 6 St & Ave D,1373,413,960,3.32,严重缺口
Crescent St & 34 Ave,2194,1235,959,1.78,严重缺口
Brooklyn Ave & Prospect Pl,1655,698,957,2.37,严重缺口
Columbia St & Degraw St,2554,1598,956,1.6,严重缺口
Bushwick Ave & Linden St,1460,509,951,2.87,严重缺口
Columbus Ave & W 103 St,1829,879,950,2.08,严重缺口
Greene Ave & Grandview Ave,1243,300,943,4.14,严重缺口
Henry St & Remsen St,2413,1472,941,1.64,严重缺口
Willoughby Ave & Myrtle Ave,1443,505,938,2.86,严重缺口
Adam Clayton Powell Blvd & W 115 St,2627,1689,938,1.56,严重缺口
Adam Clayton Powell Blvd & W 141 St,1499,566,933,2.65,严重缺口
48 Ave & 41 St,1221,294,927,4.15,严重缺口
Prospect Park SW & 10 Ave,1628,705,923,2.31,严重缺口
Marcy Ave & Lafayette Ave,2240,1322,918,1.69,严重缺口
Grand St & Havemeyer St,3344,2427,917,1.38,严重缺口
Woodward Ave & Harman St,1426,511,915,2.79,严重缺口
27 Ave & 9 St,1312,401,911,3.27,严重缺口
St Felix Ave & 61 St,1176,277,899,4.25,严重缺口
Delancey St & Eldridge St,2201,1305,896,1.69,严重缺口
Bergen St & Vanderbilt Ave,6531,5636,895,1.16,严重缺口
14 St & 5 Ave,2956,2063,893,1.43,严重缺口
Central Ave & Starr Street,1343,450,893,2.98,严重缺口
23 St & 31 Ave,1497,605,892,2.47,严重缺口
Graham Ave & Herbert St,1508,617,891,2.44,严重缺口
E 95 St & 3 Ave,3002,2112,890,1.42,严重缺口
Underhill Ave & Lincoln Pl,2364,1476,888,1.6,严重缺口
Driggs Ave & Lorimer St,2872,2003,869,1.43,严重缺口
E 2 St & Ave A,1579,713,866,2.21,严重缺口
E 2 St & Ave B,1315,449,866,2.93,严重缺口
Kent Ave & Division Ave,2445,1580,865,1.55,严重缺口
E 58 St & 1 Ave (NE Corner),2509,1644,865,1.53,严重缺口
Morgan Ave & Lombardy St,2089,1225,864,1.71,严重缺口
Washington Ave & Greene Ave,2377,1514,863,1.57,严重缺口
Kingston Ave & Park Pl,1351,492,859,2.75,严重缺口
Adam Clayton Powell Blvd & W 138 St,2883,2027,856,1.42,严重缺口
W 110 St & Amsterdam Ave,3846,2994,852,1.28,严重缺口
Pacific St & Classon Ave,1891,1040,851,1.82,严重缺口
Madison St & Clinton St,3102,2253,849,1.38,严重缺口
Cumberland St & Lafayette Ave,2685,1843,842,1.46,严重缺口
E 2 St & Ave C,1418,580,838,2.44,严重缺口
E 74 St & 1 Ave,9325,8487,838,1.1,严重缺口
31 Ave & 14 St,1277,439,838,2.91,严重缺口
Crescent St & 35 Ave,1494,661,833,2.26,严重缺口
17 St & 5 Ave,1864,1034,830,1.8,严重缺口
14 St & 7 Ave,2426,1602,824,1.51,严重缺口
Ave D & E 3 St,1551,727,824,2.13,严重缺口
Broadway & Madison St,1204,387,817,3.11,严重缺口
Central Ave & Weirfield St,1097,285,812,3.85,严重缺口
India St Pier,3107,2301,806,1.35,严重缺口
21 St & 21 Ave,1128,326,802,3.46,严重缺口
Ave A & E 14 St,11129,10330,799,1.08,严重缺口
W 24 St & 7 Ave,8346,7549,797,1.11,严重缺口
E 88 St & Park Ave,5098,4302,796,1.19,严重缺口
Macon St & Lewis Ave,1076,282,794,3.82,严重缺口
Clinton St & 4 Place,2542,1750,792,1.45,严重缺口
N 5 St & Northside Piers,3658,2867,791,1.28,严重缺口
5 St & 6 Ave,1950,1163,787,1.68,严重缺口
Riverside Dr & W 138 St,1345,564,781,2.38,严重缺口
8 Ave & W 33 St,11753,10972,781,1.07,严重缺口
E Houston St & Columbia St,6159,5383,776,1.14,严重缺口
Throop Ave & Myrtle Ave,1851,1076,775,1.72,严重缺口
7 Ave & 22 St,1029,255,774,4.04,严重缺口
7 Ave & 17 St,1797,1024,773,1.75,严重缺口
Hancock St & Stuyvesant Ave,1299,530,769,2.45,严重缺口
W 111 St & 5 Ave,4094,3326,768,1.23,严重缺口
Hope St & Union Ave,4235,3468,767,1.22,严重缺口
43 Ave & 47 St,989,226,763,4.38,严重缺口
Greene Ave & Nostrand Ave,2450,1689,761,1.45,严重缺口
S 5 Pl & S 5 St,3908,3154,754,1.24,严重缺口
Prospect Park SW & 16 St,1746,996,750,1.75,严重缺口
3 Ave & E 100 St,1483,734,749,2.02,严重缺口
Lafayette Ave & St James Pl,3580,2832,748,1.26,严重缺口
Fairview Ave & Linden St,1074,327,747,3.28,严重缺口
Brooklyn Ave & Dean St,1391,646,745,2.15,严重缺口
Bergen St & Kingston Ave,1299,557,742,2.33,严重缺口
E 118 St & 3 Ave,2035,1295,740,1.57,严重缺口
Harman St & Seneca Ave,956,217,739,4.41,严重缺口
34th Ave & Vernon Blvd,1726,991,735,1.74,严重缺口
Columbia St & Kane St,1278,544,734,2.35,严重缺口
Avenue D & E 10 St,1572,839,733,1.87,严重缺口
Clark St & Henry St,4994,4265,729,1.17,严重缺口
Central Ave & Woodbine St,1770,1041,729,1.7,严重缺口
Columbia Heights & Cranberry St,1787,1058,729,1.69,严重缺口
46 St & 7 Ave,1052,323,729,3.26,严重缺口
Putnam Ave & Ralph Ave,1232,505,727,2.44,严重缺口
Central Ave & Himrod St,1024,301,723,3.4,严重缺口
Lincoln Pl & Nostrand Ave,1262,543,719,2.32,严重缺口
E 10 St & Ave A,1322,604,718,2.19,严重缺口
Lexington Ave & Stuyvesant Ave,1222,506,716,2.42,严重缺口
5 Av & W 139 St,1549,835,714,1.86,严重缺口
E 85 St & 3 Ave,8458,7748,710,1.09,严重缺口
4 Ave & 3 St,3227,2520,707,1.28,严重缺口
Hancock St & Malcolm X Blvd,1145,438,707,2.61,严重缺口
Amsterdam Ave & W 66 St,5382,4678,704,1.15,严重缺口
Bushwick Ave & Harman St,1278,581,697,2.2,严重缺口
Bleecker St & Forest Ave,914,218,696,4.19,严重缺口
Scholes St & Manhattan Ave,3770,3075,695,1.23,严重缺口
Division Ave & Hooper St,1783,1090,693,1.64,严重缺口
Broadway & W 138 St,1205,512,693,2.35,严重缺口
Plaza St East & Flatbush Ave,3433,2741,692,1.25,严重缺口
Eastern Pkwy & Troy Ave,976,288,688,3.39,严重缺口
Degraw St & Smith St,2297,1610,687,1.43,严重缺口
Lenox Ave & W 140 St,1586,900,686,1.76,严重缺口
Court St & Nelson St,2581,1896,685,1.36,严重缺口
Menahan St & Onderdonk Ave,971,295,676,3.29,严重缺口
Stanhope St & Fairview Ave,1109,434,675,2.56,严重缺口
Evergreen Ave & Noll St,1621,946,675,1.71,严重缺口
35 St & 30 Ave,1709,1036,673,1.65,严重缺口
31 Ave & 30 St,1646,973,673,1.69,严重缺口
Flatbush Ave & Fenimore St,984,311,673,3.16,严重缺口
N Henry St & Norman Ave,1357,685,672,1.98,严重缺口
19 St & 24 Ave,1290,620,670,2.08,严重缺口
Beck St & Leggett Ave,982,314,668,3.13,严重缺口
Nassau St & Duffield St,2151,1484,667,1.45,严重缺口
Crescent St & Broadway,2427,1764,663,1.38,严重缺口
Pacific St & Nostrand Ave,2133,1470,663,1.45,严重缺口
Sterling St & Bedford Ave,1041,381,660,2.73,严重缺口
Frederick Douglass Blvd & W 139 St,1380,723,657,1.91,严重缺口
3 Ave & E 72 St,2032,1375,657,1.48,严重缺口
